# schema fln.olean-imports/1
# pin v4.32.0 8c9756b28d64dab099da31a4c09229a9e6a2ef35
# columns fixture index module import_all is_exported is_meta
Order.Basic.olean	0	Init	false	true	false
Order.Basic.olean	1	Init	false	true	true
Order.Basic.olean	2	Mathlib.Data.Subtype	false	true	false
Order.Basic.olean	3	Mathlib.Order.Defs.LinearOrder	false	true	false
Order.Basic.olean	4	Mathlib.Order.Defs.Prop	false	true	false
Order.Basic.olean	5	Mathlib.Order.Notation	false	true	false
Order.Basic.olean	6	Mathlib.Tactic.Spread	false	true	false
Order.Basic.olean	7	Mathlib.Tactic.Convert	false	true	false
Order.Basic.olean	8	Mathlib.Tactic.Inhabit	false	true	false
Order.Basic.olean	9	Mathlib.Tactic.SimpRw	false	true	false
Order.Basic.olean	10	Mathlib.Tactic.GCongr.Core	false	true	false
Order.Basic.olean	11	Mathlib.Tactic.Attr.Register	false	true	false
Order.Basic.olean	12	Mathlib.Tactic.FastInstance	false	true	false
Algebra.Group.Basic.olean	0	Init	false	true	false
Algebra.Group.Basic.olean	1	Init	false	true	true
Algebra.Group.Basic.olean	2	Aesop	false	true	false
Algebra.Group.Basic.olean	3	Mathlib.Algebra.Group.Defs	false	true	false
Algebra.Group.Basic.olean	4	Mathlib.Data.Int.Init	false	true	false
Algebra.Group.Basic.olean	5	Mathlib.Logic.Function.Iterate	false	true	false
Algebra.Group.Basic.olean	6	Mathlib.Tactic.SimpRw	false	true	false
Algebra.Group.Basic.olean	7	Mathlib.Tactic.SplitIfs	false	true	false
Data.Real.Basic.olean	0	Init	false	true	false
Data.Real.Basic.olean	1	Init	false	true	true
Data.Real.Basic.olean	2	Mathlib.Algebra.Order.CauSeq.Completion	false	true	false
Data.Real.Basic.olean	3	Mathlib.Algebra.Order.Ring.Rat	false	true	false
Data.Real.Basic.olean	4	Mathlib.Data.Rat.Cast.Defs	false	true	false
Tactic.Basic.olean	0	Init	false	true	false
Tactic.Basic.olean	1	Init	false	true	true
Tactic.Basic.olean	2	Lean.Elab.BuiltinCommand	false	true	true
Tactic.Basic.olean	3	Mathlib.Tactic.PPWithUniv	false	true	false
Tactic.Basic.olean	4	Mathlib.Tactic.ExtendDoc	false	true	false
Tactic.Basic.olean	5	Mathlib.Tactic.Linter.OldObtain	false	true	false
Tactic.Basic.olean	6	Batteries.Util.LibraryNote	false	true	false
Analysis.SpecialFunctions.Log.Basic.olean	0	Init	false	true	false
Analysis.SpecialFunctions.Log.Basic.olean	1	Init	false	true	true
Analysis.SpecialFunctions.Log.Basic.olean	2	Mathlib.Analysis.SpecialFunctions.Exp	false	true	false
Analysis.SpecialFunctions.Log.Basic.olean	3	Mathlib.Data.Nat.Factorization.Defs	false	true	false
Analysis.SpecialFunctions.Log.Basic.olean	4	Mathlib.Analysis.Normed.Module.RCLike.Real	false	true	false
Analysis.SpecialFunctions.Log.Basic.olean	5	Mathlib.Data.Rat.Cast.CharZero	false	true	false
Algebra.Ring.Basic.olean	0	Init	false	true	false
Algebra.Ring.Basic.olean	1	Init	false	true	true
Algebra.Ring.Basic.olean	2	Mathlib.Algebra.Group.Commute.Defs	false	true	false
Algebra.Ring.Basic.olean	3	Mathlib.Algebra.Group.Hom.Instances	false	true	false
Algebra.Ring.Basic.olean	4	Mathlib.Algebra.GroupWithZero.NeZero	false	true	false
Algebra.Ring.Basic.olean	5	Mathlib.Algebra.Opposites	false	true	false
Algebra.Ring.Basic.olean	6	Mathlib.Algebra.Ring.Defs	false	true	false
Algebra.Ring.Basic.olean	7	Mathlib.Tactic.TFAE	false	true	false
